Time,Gear,Vehicle speed km/h,Engine speed rpm,Current engine torque Nm,Actual clutch torque layer Nm,Boost pressure bar,Accelerator pedal value of the monitoring functions %,Vehicle acceleration m/s²,Exhaust pressure upstream of the turbine bar,Current speed of the turbocharger rpm,Rail pressure - actual value bar,Ambient temperature ° C,Engine temperature ° C,Transmission oil temperature ° C
0.0000,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,7.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,7.00,90.00,1740.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,-0.09,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,-0.09,1.37,0.00,0.00,0.00,0.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,-0.09,1.37,112177.00,0.00,0.00,0.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,-0.09,1.37,112177.00,457.17,0.00,0.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,-0.09,1.37,112177.00,457.17,31.00,0.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,-0.09,1.37,112177.00,457.17,31.00,89.00,0.00
0.0000,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,-0.09,1.37,112177.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,-0.09,1.37,112177.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1740.00,-19.91,0.00,0.37,0.00,-0.09,1.37,112177.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-19.91,0.00,0.37,0.00,-0.09,1.37,112177.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.37,0.00,-0.09,1.37,112177.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.37,0.00,-0.09,1.37,112177.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.09,1.37,112177.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.09,1.37,112177.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.15,1.37,112177.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.15,1.29,112177.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.15,1.29,96590.00,457.17,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.1730,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1730.00,-26.20,0.00,0.18,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.20,0.00,0.18,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.18,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.18,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.08,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.08,0.00,-0.15,1.29,96590.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.08,0.00,-0.22,1.29,96590.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.08,0.00,-0.22,1.27,96590.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.08,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.08,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.08,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.08,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.3570,7.00,90.00,1728.00,-26.89,0.00,0.08,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.5600,7.00,90.00,1728.00,-26.89,0.00,0.08,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1728.00,-26.89,0.00,0.08,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-26.89,0.00,0.08,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.08,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.08,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.22,1.27,86698.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.59,1.27,86698.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.59,1.27,86698.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.5600,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1718.00,-27.12,0.00,0.02,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.02,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.02,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.02,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.59,1.27,79789.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.25,1.27,79789.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.25,1.27,79789.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.7430,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1715.00,-27.12,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.12,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.25,1.27,72629.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.50,1.27,72629.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.50,1.27,72629.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
0.9260,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
1.0930,7.00,89.00,1702.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1702.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.50,1.27,67948.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.37,1.27,67948.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.37,1.27,67948.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.0930,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1700.00,-27.00,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1690.00,-27.00,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1690.00,-26.89,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1690.00,-26.89,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1690.00,-26.89,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1690.00,-26.89,0.00,0.00,0.00,-0.37,1.27,65290.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1690.00,-26.89,0.00,0.00,0.00,-0.43,1.27,65290.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1690.00,-26.89,0.00,0.00,0.00,-0.43,1.27,65290.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1690.00,-26.89,0.00,0.00,0.00,-0.43,1.27,62810.00,472.19,31.00,89.00,58.00
1.2610,7.00,88.00,1690.00,-26.89,0.00,0.00,0.00,-0.43,1.27,62810.00,472.19,31.00,89.00,58.00
